task_name,base_task,category,add,initstate,language,layout,light,noise,table,view
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_10,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_10,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_11,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_11,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_12,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_12,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_13,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_13,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_14,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_14,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_15,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_15,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_16,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_16,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_17,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_17,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_18,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_18,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_19,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_19,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_2,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_2,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_21,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_21,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_22,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_22,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_23,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_23,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_3,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_5,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_5,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_6,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_6,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_8,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_8,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_tb_9,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Background Textures,,,,,,,tb_9,
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_114,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_114,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_164,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_164,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_184,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_184,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_194,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_194,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_204,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_204,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_214,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_214,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_224,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_224,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_284,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_284,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_294,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_294,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_324,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_324,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_334,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_334,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_344,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_344,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_374,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_374,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_384,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_384,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_394,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_394,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_414,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_414,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_424,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_424,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_434,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_434,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_444,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_444,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_454,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_454,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_464,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_464,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_474,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_474,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_484,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_484,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_494,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Robot Initial States,,initstate_494,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_131_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_132_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_133_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_134_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_135_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_136_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_137_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_138_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_139_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_140_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_4_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_6_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_8_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_10_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_350_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_352_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_354_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_356_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_0_0_100_8_358_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_46_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_46
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_46_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_46
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_47_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_47
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_47_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_47
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_48_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_48
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_48_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_48
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_49_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_49
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_49_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_49
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_50_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_50
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_50_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_50
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_51_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_51
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_51_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_51
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_52_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_52
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_52_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_52
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_53_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_53
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_53_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_53
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_54_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_54
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_54_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_54
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_55_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_55
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_55_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_55
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_56_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_56
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_56_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_56
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_57_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_57
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_57_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_57
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_58_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_58
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_58_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_58
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_59_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_59
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_59_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_59
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_60_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_60
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_view_60_15_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Camera Viewpoints,,initstate_0,,,,,,view_60
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_1_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_1,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_2_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_2,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_3_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_3,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_4_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_4,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_5_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_5,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_6_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_6,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_7_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_7,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_8_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_8,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_10_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_10,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_12_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_12,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_14_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_14,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_16_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_16,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_17_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_17,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_18_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_18,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_19_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_19,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_20_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_20,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_22_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_22,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_23_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_23,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_24_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_24,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_25_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_25,,,,,view_0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_language_26_view_0_0_100_0_0_initstate_0,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,Language Instructions,,initstate_0,language_26,,,,,view_0
